Name,Total,White,Black,Hispanic,Asian,Other,p_White,p_Black,p_Hispanic,p_Asian,p_Other,entropy5,entropy4,entropy_rice,gini_simpson
"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,606716,92705,155025,41801,20582,0.661754809239,0.101114820757,0.169088237828,0.0455930168003,0.0224491153748,0.640883665914,0.681860466724,0.640883665914,0.520682847338
"Brigham City, UT Micro Area",49975,44109,139,4152,430,1145,0.882621310655,0.00278139069535,0.0830815407704,0.00860430215108,0.0229114557279,0.286253065279,0.259531056683,0.286253065279,0.213470374607
"Brookhaven, MS Micro Area",34869,23702,10400,330,117,320,0.67974418538,0.298259198715,0.00946399380539,0.00335541598555,0.00917720611431,0.453270643702,0.493112406877,0.453270643702,0.448804245717
"Brookings, OR Micro Area",22364,19837,62,1201,157,1107,0.887005902343,0.00277231264532,0.0537023788231,0.00702021105348,0.049499195135,0.287875759521,0.202083500855,0.287875759521,0.207829444318
"Brookings, SD Micro Area",31965,29513,246,636,866,704,0.92329109964,0.00769591740967,0.0198967620835,0.0270921320194,0.0220240888472,0.23044220077,0.195511483567,0.23044220077,0.145859392932
"Brownsville, TN Micro Area",18787,8419,9431,723,21,193,0.44812902539,0.501996061106,0.0384840581253,0.00111779421941,0.0102730611593,0.550285492043,0.60376520339,0.550285492043,0.545592523258
"Brownsville-Harlingen, TX Metro Area",406220,43427,1192,357747,2486,1368,0.106905125302,0.00293437053813,0.880673034316,0.00611983654178,0.00336763330215,0.259965868558,0.286519828859,0.259965868558,0.212928896928
"Brownwood, TX Micro Area",38106,28478,1303,7453,160,712,0.747336377473,0.0341940901695,0.195585996956,0.00419881383509,0.0186847215662,0.465738817983,0.482730430187,0.465738817983,0.40169847204
"Brunswick, GA Metro Area",112370,77516,26188,5696,976,1994,0.689828245973,0.233051526208,0.0506896858592,0.00868559223992,0.0177449497197,0.534039177376,0.565747125568,0.534039177376,0.466864210184
"Bucyrus, OH Micro Area",43784,42227,375,533,156,493,0.964439064498,0.00856477251964,0.0121733966746,0.00356294536817,0.0112598209392,0.124241441907,0.100858587509,0.124241441907,0.0694962658072
"Buffalo-Niagara Falls, NY Metro Area",1135509,903063,134427,46425,25428,26166,0.795293564384,0.118384794837,0.0408847486017,0.0223934816897,0.0230434104882,0.458192094885,0.463524085354,0.458192094885,0.350789157344
"Burley, ID Micro Area",43021,29837,82,12217,174,711,0.693545012901,0.00190604588457,0.283977592339,0.00404453638921,0.0165268124869,0.443206295267,0.461438674053,0.443206295267,0.438058915314
"Burlington, IA-IL Micro Area (part)",47656,43192,2020,1121,300,1023,1.86720095378,0.051767122318,0.0366162056467,0.00911368152449,0.0353020367271,0.26449548702,0.237366990817,-0.454018517633,-2.49178927627
"Burlington, NC Metro Area",151131,101718,27985,16639,1806,2983,0.673045238899,0.185170481238,0.110096538764,0.0119498977708,0.019737843328,0.591553134092,0.629208097361,0.591553134092,0.50006836891
"Burlington-South Burlington, VT Metro Area",211261,194738,3395,3507,4612,5009,0.921788687926,0.0160701691273,0.0166003190366,0.0218308159102,0.0237100079996,0.237161005683,0.199161158069,0.237161005683,0.148733044881
"Butte-Silver Bow, MT Micro Area",34200,31515,103,1253,161,1168,0.92149122807,0.00301169590643,0.0366374269006,0.00470760233918,0.0341520467836,0.220282048734,0.153582336884,0.220282048734,0.148314021408
"Cadillac, MI Micro Area",47584,45476,164,825,238,881,0.955699394755,0.00344653665098,0.0173377605918,0.00500168123739,0.0185146267653,0.14508624195,0.103854051506,0.14508624195,0.0859583820891
"Calhoun, GA Micro Area",55186,44107,1945,7738,522,874,0.799242561519,0.0352444460552,0.140216721632,0.00945892074077,0.0158373500525,0.4238836152,0.44039724001,0.4238836152,0.339968135015
"Cambridge, MD Micro Area",32618,21581,8937,1130,299,671,0.661628548654,0.273989821571,0.0346434484027,0.0091667177632,0.0205714636091,0.538954115515,0.565010832857,0.538954115515,0.485469858935
